frame,time_s,body_x,body_y,far_ep_x,far_ep_y,near_ep_x,near_ep_y,t_along
0,0.0,356,499,324,530,545,1272,-0.026576
1,0.0333,340,498,323,530,544,1272,-0.033345
2,0.0667,339,497,323,530,544,1273,-0.03492
3,0.1,339,507,323,530,544,1273,-0.022555
4,0.1333,339,509,323,531,544,1273,-0.021334
5,0.1667,339,511,323,531,543,1274,-0.018886
6,0.2,339,511,322,531,543,1274,-0.018478
7,0.2333,338,512,322,532,542,1274,-0.018899
8,0.2667,338,512,322,532,542,1274,-0.018899
9,0.3,338,512,322,532,541,1275,-0.018926
10,0.3333,338,512,322,532,541,1275,-0.018926
11,0.3667,338,513,322,532,541,1276,-0.017676
12,0.4,338,513,321,532,540,1276,-0.017312
13,0.4333,337,513,321,533,540,1277,-0.018913
14,0.4667,337,513,321,533,539,1277,-0.018953
15,0.5,337,513,321,533,539,1277,-0.018953
16,0.5333,337,513,321,533,539,1277,-0.018953
17,0.5667,337,513,320,533,538,1278,-0.018578
18,0.6,337,513,320,533,538,1278,-0.018578
19,0.6333,336,514,320,533,538,1278,-0.017703
20,0.6667,336,514,320,533,538,1279,-0.017691
21,0.7,336,514,320,534,537,1279,-0.01898
22,0.7333,335,515,320,534,537,1279,-0.018103
23,0.7667,335,515,319,533,537,1279,-0.016456
24,0.8,335,515,319,533,536,1279,-0.016494
25,0.8333,334,515,319,533,536,1279,-0.016854
26,0.8667,334,515,318,533,535,1279,-0.016494
27,0.9,334,515,318,533,535,1279,-0.016494
28,0.9333,334,514,317,533,535,1279,-0.01733
29,0.9667,334,515,317,533,534,1279,-0.016135
30,1.0333,333,511,316,533,533,1279,-0.021078
31,1.0667,333,511,316,533,533,1278,-0.021094
32,1.1,334,511,315,532,532,1278,-0.019123
33,1.1333,334,511,314,532,531,1278,-0.018764
34,1.1667,335,511,313,532,530,1277,-0.018055
35,1.2,334,512,312,532,529,1277,-0.016817
36,1.2333,334,516,311,531,528,1276,-0.01027
37,1.2667,334,518,310,530,526,1275,-0.006243
38,1.3,334,516,308,530,525,1275,-0.007952
39,1.3333,334,514,307,530,523,1274,-0.010117
40,1.3667,333,513,306,529,522,1273,-0.010117
41,1.4,331,515,304,529,521,1272,-0.007583
42,1.4333,331,524,303,528,519,1271,0.005138
43,1.4667,330,522,302,527,518,1271,0.003879
44,1.5,330,523,300,527,516,1270,0.005859
45,1.5333,329,520,298,526,514,1269,0.003738
46,1.5667,329,521,297,525,512,1268,0.006532
47,1.6,329,521,295,525,510,1267,0.007276
48,1.6333,328,519,293,524,508,1265,0.006417
49,1.6667,326,520,291,523,506,1264,0.008906
50,1.7,326,520,288,522,503,1262,0.011266
51,1.7333,325,521,286,521,501,1261,0.01412
52,1.7667,324,523,284,520,499,1259,0.018261
53,1.8,324,525,282,520,497,1258,0.021528
54,1.8333,324,528,280,519,494,1256,0.027249
55,1.8667,323,523,278,518,492,1254,0.022656
56,1.9,323,528,276,517,490,1252,0.03096
57,1.9333,323,527,273,515,487,1249,0.033373
58,1.9667,322,527,271,514,485,1247,0.03506
59,2.0,320,529,268,513,482,1244,0.039341
60,2.0333,318,536,266,512,480,1241,0.049588
61,2.0667,316,533,263,510,477,1238,0.048779
62,2.1,315,533,260,509,475,1236,0.050931
63,2.1333,313,535,257,508,472,1233,0.055285
64,2.1667,311,536,254,507,469,1230,0.058391
65,2.2,309,536,250,505,465,1227,0.061791
66,2.2333,308,538,247,504,462,1224,0.066584
67,2.2667,305,540,243,502,458,1220,0.072299
68,2.3,302,540,239,501,454,1216,0.074321
69,2.3333,299,540,235,500,451,1213,0.076292
