frame,time_s,body_x,body_y,far_ep_x,far_ep_y,near_ep_x,near_ep_y,t_along
0,0.0,328,493,303,507,544,1215,-0.006949
1,0.0333,328,493,302,507,544,1215,-0.006466
2,0.0667,328,492,302,507,544,1215,-0.007731
3,0.1,328,492,303,507,544,1215,-0.008215
4,0.1333,328,492,303,507,544,1215,-0.008215
5,0.1667,328,492,302,507,544,1215,-0.007731
6,0.2,328,493,302,507,544,1215,-0.006466
7,0.2333,327,493,302,507,543,1215,-0.006949
8,0.2667,327,492,302,507,543,1215,-0.008215
9,0.3,327,492,302,507,542,1215,-0.008267
10,0.3333,326,491,302,507,542,1215,-0.009963
11,0.3667,326,491,302,507,541,1215,-0.010015
12,0.4,326,491,302,507,541,1216,-0.010018
13,0.4333,326,491,301,507,541,1216,-0.009538
14,0.4667,325,490,301,507,541,1216,-0.011232
15,0.5,325,490,301,507,541,1216,-0.011232
16,0.5333,325,490,301,507,541,1217,-0.011234
17,0.5667,325,490,301,507,541,1217,-0.011234
18,0.6,325,490,301,507,541,1217,-0.011234
19,0.6333,325,490,301,507,541,1217,-0.011234
20,0.6667,325,490,301,507,541,1217,-0.011234
21,0.7,325,490,301,507,541,1218,-0.011236
22,0.7333,325,490,301,507,541,1218,-0.011236
23,0.7667,325,490,301,507,541,1219,-0.011237
24,0.8,325,489,301,507,541,1219,-0.012499
25,0.8333,325,489,301,507,541,1219,-0.012499
26,0.8667,325,488,301,507,541,1220,-0.013759
27,0.9,325,488,301,507,540,1220,-0.013813
28,0.9333,325,489,301,507,540,1220,-0.012552
29,0.9667,326,489,301,507,540,1221,-0.012131
30,1.0333,328,490,301,507,540,1221,-0.010028
31,1.0667,329,492,301,507,540,1222,-0.007096
32,1.1,329,494,301,507,540,1222,-0.00458
33,1.1333,330,495,301,507,540,1222,-0.002901
34,1.1667,330,495,301,507,540,1222,-0.002901
35,1.2,330,495,301,507,540,1222,-0.002901
36,1.2333,330,495,301,507,540,1222,-0.002901
37,1.2667,330,495,301,507,540,1223,-0.002915
38,1.3,330,494,301,507,540,1223,-0.004172
39,1.3333,331,493,301,507,540,1224,-0.005021
40,1.3667,331,492,301,507,540,1224,-0.006276
41,1.4,332,491,301,507,540,1224,-0.007113
42,1.4333,333,491,301,507,541,1224,-0.006633
43,1.4667,335,493,301,507,541,1225,-0.003301
44,1.5,336,495,301,507,541,1225,-0.000377
45,1.5333,336,498,302,507,541,1225,0.002906
46,1.5667,336,499,302,507,541,1226,0.004135
47,1.6,337,500,302,507,541,1226,0.005804
48,1.6333,337,501,302,507,541,1226,0.007056
