frame,time_s,frame_w,frame_h,body_x,body_y,far_ep_x,far_ep_y,near_ep_x,near_ep_y,t_along,lm_00_x,lm_00_y,lm_00_z,lm_01_x,lm_01_y,lm_01_z,lm_02_x,lm_02_y,lm_02_z,lm_03_x,lm_03_y,lm_03_z,lm_04_x,lm_04_y,lm_04_z,lm_05_x,lm_05_y,lm_05_z,lm_06_x,lm_06_y,lm_06_z,lm_07_x,lm_07_y,lm_07_z,lm_08_x,lm_08_y,lm_08_z,lm_09_x,lm_09_y,lm_09_z,lm_10_x,lm_10_y,lm_10_z,lm_11_x,lm_11_y,lm_11_z,lm_12_x,lm_12_y,lm_12_z,lm_13_x,lm_13_y,lm_13_z,lm_14_x,lm_14_y,lm_14_z,lm_15_x,lm_15_y,lm_15_z,lm_16_x,lm_16_y,lm_16_z,lm_17_x,lm_17_y,lm_17_z,lm_18_x,lm_18_y,lm_18_z,lm_19_x,lm_19_y,lm_19_z,lm_20_x,lm_20_y,lm_20_z,lm_21_x,lm_21_y,lm_21_z,lm_22_x,lm_22_y,lm_22_z,lm_23_x,lm_23_y,lm_23_z,lm_24_x,lm_24_y,lm_24_z,lm_25_x,lm_25_y,lm_25_z,lm_26_x,lm_26_y,lm_26_z,lm_27_x,lm_27_y,lm_27_z,lm_28_x,lm_28_y,lm_28_z,lm_29_x,lm_29_y,lm_29_z,lm_30_x,lm_30_y,lm_30_z,lm_31_x,lm_31_y,lm_31_z,lm_32_x,lm_32_y,lm_32_z
0,0.0,720,1280,356,499,322,530,544,1270,-0.025787,0.464794,0.303547,-0.385215,0.467425,0.301128,-0.379512,0.469556,0.300871,-0.379465,0.471367,0.300591,-0.379504,0.462381,0.301989,-0.378841,0.461053,0.302406,-0.378938,0.459552,0.302827,-0.378924,0.473453,0.301797,-0.317961,0.458473,0.304751,-0.316014,0.46941,0.305978,-0.359828,0.462866,0.306787,-0.359342,0.487706,0.312865,-0.276984,0.446712,0.320085,-0.20183,0.493235,0.336314,-0.29024,0.443532,0.343831,-0.185722,0.500932,0.356601,-0.328427,0.446896,0.36134,-0.227696,0.505122,0.360869,-0.361678,0.444064,0.364699,-0.239614,0.500827,0.362441,-0.36244,0.444544,0.36288,-0.263504,0.49808,0.360105,-0.331034,0.449992,0.363205,-0.238459,0.517219,0.328402,-0.02444,0.493151,0.334019,0.024549,0.500389,0.349058,-0.163623,0.471855,0.363454,-0.068209,0.516481,0.383231,-0.118933,0.47441,0.397219,-0.037524,0.518771,0.388903,-0.117883,0.478522,0.401669,-0.036808,0.509449,0.392122,-0.195192,0.463785,0.404869,-0.10289
1,0.0333,720,1280,340,498,321,530,543,1270,-0.032606,0.465511,0.303548,-0.362737,0.468,0.301128,-0.350664,0.469955,0.300875,-0.350575,0.471731,0.300617,-0.35056,0.46313,0.301979,-0.357837,0.461664,0.302381,-0.357982,0.460019,0.302774,-0.358013,0.473617,0.301921,-0.268589,0.458297,0.30455,-0.304252,0.469698,0.306103,-0.330181,0.463027,0.306822,-0.340435,0.485981,0.313296,-0.197057,0.444721,0.320887,-0.203104,0.492575,0.335979,-0.172989,0.439961,0.344123,-0.195133,0.501003,0.354374,-0.210875,0.440867,0.360332,-0.244706,0.505343,0.358779,-0.228159,0.441241,0.364208,-0.262731,0.501106,0.359531,-0.23974,0.4417,0.362871,-0.272394,0.499225,0.35838,-0.21698,0.443281,0.362066,-0.249052,0.49585,0.329155,-0.007785,0.477794,0.335652,0.007753,0.471,0.351088,-0.064513,0.460159,0.364735,-0.121443,0.475672,0.381911,0.016631,0.47121,0.397202,-0.094167,0.47611,0.386244,0.022828,0.475889,0.400827,-0.093876,0.470321,0.391427,-0.037343,0.467546,0.40582,-0.169288
2,0.0667,720,1280,339,497,321,530,543,1271,-0.034188,0.466293,0.303577,-0.087897,0.468572,0.301155,-0.076934,0.470424,0.300963,-0.076861,0.472147,0.300794,-0.07684,0.463747,0.301952,-0.082834,0.462111,0.302287,-0.082904,0.460374,0.302585,-0.082915,0.473708,0.302069,-0.021753,0.458333,0.304073,-0.051642,0.469793,0.306324,-0.066984,0.463146,0.306825,-0.075743,0.482696,0.313326,-0.002535,0.444134,0.320647,-0.007132,0.490759,0.334107,0.013791,0.439503,0.343055,-0.003492,0.499607,0.352555,-0.000427,0.438682,0.358474,-0.037302,0.504412,0.356366,-0.008686,0.438698,0.362169,-0.045371,0.500876,0.356734,-0.015751,0.440165,0.361877,-0.053223,0.498377,0.355341,-0.003697,0.441202,0.359608,-0.040483,0.491217,0.331583,-0.011282,0.477091,0.337781,0.011286,0.467971,0.349453,-0.065801,0.462228,0.363883,-0.070783,0.472521,0.379284,-0.023515,0.471032,0.397423,-0.081036,0.474816,0.383685,-0.019682,0.476068,0.400864,-0.083056,0.4626,0.390502,-0.058171,0.467338,0.407322,-0.139803
3,0.1,720,1280,339,507,321,530,543,1271,-0.021804,0.466463,0.303995,-0.341509,0.468814,0.3014,-0.329517,0.470657,0.301272,-0.329484,0.472434,0.301164,-0.329498,0.463858,0.301953,-0.333909,0.462156,0.302253,-0.334022,0.460377,0.302469,-0.334085,0.473895,0.302171,-0.239071,0.45795,0.303817,-0.265933,0.469832,0.306776,-0.307064,0.463158,0.307081,-0.313915,0.483814,0.314472,-0.109995,0.443711,0.319531,-0.168631,0.491231,0.334355,-0.148955,0.439486,0.341232,-0.13929,0.499439,0.35302,-0.109026,0.437586,0.35772,-0.203878,0.504081,0.356976,-0.182782,0.436544,0.361584,-0.217884,0.500566,0.357242,-0.057119,0.437303,0.361367,-0.235631,0.498144,0.355774,-0.034494,0.438794,0.359444,-0.210872,0.496487,0.340198,-0.013564,0.47965,0.343911,0.013597,0.473038,0.367711,-0.050756,0.463857,0.367687,-0.020578,0.471674,0.395965,0.027844,0.471046,0.397701,0.050294,0.475929,0.403078,0.031904,0.475768,0.40303,0.054239,0.465276,0.406953,-0.035107,0.466178,0.407927,-0.016025
4,0.1333,720,1280,339,509,321,531,543,1271,-0.02058,0.466512,0.303992,-0.34116,0.468819,0.301407,-0.331751,0.470654,0.301306,-0.331738,0.472429,0.301255,-0.331767,0.463844,0.301881,-0.333072,0.462112,0.302102,-0.333165,0.460287,0.302242,-0.333214,0.473955,0.302243,-0.254584,0.45768,0.303406,-0.26606,0.469831,0.30677,-0.311278,0.463168,0.307076,-0.314055,0.485446,0.314767,-0.129643,0.443724,0.318239,-0.173608,0.495373,0.334455,-0.182469,0.439484,0.338788,-0.142371,0.499188,0.353232,-0.1984,0.43596,0.357273,-0.192556,0.503951,0.357154,-0.23546,0.434022,0.360756,-0.203743,0.499748,0.35767,-0.209641,0.434478,0.360916,-0.224623,0.497583,0.356169,-0.176378,0.435883,0.359537,-0.201007,0.49581,0.345296,-0.009595,0.473869,0.346998,0.009585,0.475041,0.370335,-0.069972,0.464875,0.369347,-0.057557,0.474491,0.397567,0.012393,0.468472,0.397955,0.014517,0.47707,0.403393,0.015939,0.471471,0.40298,0.018947,0.470234,0.407862,-0.058473,0.464737,0.407722,-0.056103
5,0.1667,720,1280,339,511,321,531,542,1272,-0.018133,0.466889,0.303998,-0.295615,0.469057,0.301508,-0.286795,0.47079,0.301478,-0.286796,0.472483,0.301502,-0.286815,0.464055,0.301876,-0.288965,0.462332,0.302051,-0.289038,0.460524,0.302126,-0.289106,0.473951,0.302386,-0.215056,0.457917,0.303047,-0.227898,0.469877,0.306764,-0.267184,0.463585,0.306883,-0.270896,0.486109,0.314703,-0.147468,0.443936,0.317505,-0.161225,0.496816,0.333454,-0.125996,0.438457,0.338339,-0.134618,0.499873,0.352288,-0.164068,0.433294,0.35701,-0.182379,0.503585,0.357069,-0.177954,0.431471,0.360771,-0.197315,0.499625,0.357031,-0.191365,0.431728,0.360955,-0.215196,0.497596,0.355304,-0.16907,0.43348,0.359695,-0.189828,0.490133,0.348094,0.006055,0.464531,0.348753,-0.00609,0.476806,0.373592,0.029343,0.465188,0.37194,-0.072346,0.477121,0.398859,0.134602,0.466509,0.399644,0.000541,0.479447,0.402801,0.140859,0.465286,0.403771,0.004071,0.475494,0.408342,0.077428,0.467847,0.408452,-0.073669
6,0.2,720,1280,339,511,320,531,542,1272,-0.017718,0.466501,0.303941,-0.268567,0.468712,0.301507,-0.26033,0.470335,0.301482,-0.260333,0.471978,0.301519,-0.260355,0.463985,0.301715,-0.261308,0.462287,0.30178,-0.261381,0.460505,0.301768,-0.26146,0.473874,0.302393,-0.194979,0.457823,0.302887,-0.201136,0.469231,0.306706,-0.242874,0.4632,0.306629,-0.244696,0.487672,0.314674,-0.135528,0.443993,0.316969,-0.14398,0.498924,0.333646,-0.1105,0.43784,0.337575,-0.120441,0.500444,0.3519,-0.141764,0.431779,0.356747,-0.157484,0.503554,0.357043,-0.151845,0.427617,0.360838,-0.170263,0.49967,0.35708,-0.166583,0.429637,0.361006,-0.187785,0.497896,0.355326,-0.147633,0.43147,0.359823,-0.164933,0.486878,0.350022,0.008279,0.460176,0.350023,-0.008328,0.477098,0.372578,0.021361,0.464196,0.371991,-0.097403,0.476381,0.398736,0.133861,0.465693,0.400729,-0.012115,0.475697,0.401643,0.141139,0.463899,0.404113,-0.005037,0.477741,0.408151,0.079137,0.469481,0.409326,-0.097775
7,0.2333,720,1280,338,512,320,532,541,1272,-0.018144,0.466294,0.303915,-0.216395,0.468604,0.301494,-0.207523,0.470181,0.30148,-0.207552,0.471804,0.301521,-0.207585,0.463888,0.301617,-0.20844,0.462134,0.301646,-0.208507,0.460366,0.30162,-0.208583,0.473872,0.302483,-0.146356,0.457631,0.302865,-0.15162,0.469124,0.306703,-0.192889,0.462954,0.306596,-0.194527,0.488989,0.315429,-0.096098,0.444065,0.317157,-0.105258,0.499785,0.334437,-0.0735,0.437178,0.337713,-0.085594,0.500772,0.351924,-0.104972,0.431653,0.356703,-0.126976,0.503352,0.357284,-0.11477,0.428253,0.360843,-0.140111,0.499577,0.357261,-0.129141,0.430204,0.361044,-0.157246,0.497896,0.355494,-0.110643,0.432259,0.359847,-0.134314,0.484685,0.351705,0.0087,0.45784,0.351474,-0.008729,0.476568,0.374176,0.002103,0.463558,0.372229,-0.140583,0.476074,0.399411,0.109696,0.465026,0.401222,-0.077302,0.474813,0.402012,0.116393,0.463267,0.404706,-0.075004,0.477908,0.408518,0.055897,0.469342,0.41,-0.158484
8,0.2667,720,1280,338,512,320,532,541,1272,-0.018144,0.466232,0.303958,-0.255984,0.46858,0.301591,-0.247709,0.47014,0.301603,-0.247721,0.471734,0.301662,-0.247741,0.463864,0.301664,-0.248634,0.462104,0.301679,-0.248704,0.460346,0.301642,-0.248774,0.473899,0.3027,-0.184439,0.457623,0.302893,-0.19012,0.469084,0.306715,-0.231386,0.462895,0.306614,-0.233091,0.48962,0.315871,-0.128051,0.4442,0.317294,-0.132358,0.500138,0.334639,-0.108892,0.436603,0.337695,-0.110095,0.501762,0.351962,-0.14897,0.431131,0.356715,-0.150539,0.503373,0.357454,-0.162479,0.428195,0.360866,-0.150329,0.499771,0.3573,-0.177057,0.429954,0.361051,-0.172409,0.498167,0.355633,-0.155181,0.432322,0.3599,-0.158921,0.484278,0.351993,0.009039,0.458334,0.351744,-0.009074,0.476553,0.374606,0.045166,0.463813,0.37316,-0.095634,0.475759,0.39967,0.152718,0.464689,0.401207,-0.01233,0.474273,0.402205,0.159529,0.463201,0.404656,-0.009183,0.47859,0.408497,0.0985,0.469009,0.410309,-0.091607
9,0.3,720,1280,338,512,320,532,540,1273,-0.018176,0.466234,0.304079,-0.232538,0.46858,0.301737,-0.224746,0.470136,0.301769,-0.224776,0.471714,0.301839,-0.22481,0.463858,0.301758,-0.225881,0.4621,0.30176,-0.225956,0.460344,0.301717,-0.226032,0.473905,0.302895,-0.165566,0.457599,0.302916,-0.172072,0.469086,0.306789,-0.209509,0.462896,0.30669,-0.211481,0.489594,0.315831,-0.113609,0.444238,0.317396,-0.122394,0.500014,0.334664,-0.093494,0.436258,0.337934,-0.103934,0.502824,0.352059,-0.12954,0.430109,0.35696,-0.143562,0.504393,0.357507,-0.140415,0.427264,0.361367,-0.154609,0.501141,0.35737,-0.155074,0.429492,0.361815,-0.172589,0.499275,0.35584,-0.135554,0.43157,0.36053,-0.150877,0.484465,0.351717,0.008594,0.458496,0.351623,-0.008629,0.476592,0.373406,-0.000107,0.463699,0.373116,-0.111384,0.475492,0.399615,0.090279,0.464761,0.401578,-0.056624,0.474459,0.402781,0.095386,0.463556,0.405179,-0.055644,0.478718,0.408331,0.03655,0.468802,0.410289,-0.134088
