frame,time_s,frame_w,frame_h,body_x,body_y,far_ep_x,far_ep_y,near_ep_x,near_ep_y,t_along,lm_00_x,lm_00_y,lm_00_z,lm_01_x,lm_01_y,lm_01_z,lm_02_x,lm_02_y,lm_02_z,lm_03_x,lm_03_y,lm_03_z,lm_04_x,lm_04_y,lm_04_z,lm_05_x,lm_05_y,lm_05_z,lm_06_x,lm_06_y,lm_06_z,lm_07_x,lm_07_y,lm_07_z,lm_08_x,lm_08_y,lm_08_z,lm_09_x,lm_09_y,lm_09_z,lm_10_x,lm_10_y,lm_10_z,lm_11_x,lm_11_y,lm_11_z,lm_12_x,lm_12_y,lm_12_z,lm_13_x,lm_13_y,lm_13_z,lm_14_x,lm_14_y,lm_14_z,lm_15_x,lm_15_y,lm_15_z,lm_16_x,lm_16_y,lm_16_z,lm_17_x,lm_17_y,lm_17_z,lm_18_x,lm_18_y,lm_18_z,lm_19_x,lm_19_y,lm_19_z,lm_20_x,lm_20_y,lm_20_z,lm_21_x,lm_21_y,lm_21_z,lm_22_x,lm_22_y,lm_22_z,lm_23_x,lm_23_y,lm_23_z,lm_24_x,lm_24_y,lm_24_z,lm_25_x,lm_25_y,lm_25_z,lm_26_x,lm_26_y,lm_26_z,lm_27_x,lm_27_y,lm_27_z,lm_28_x,lm_28_y,lm_28_z,lm_29_x,lm_29_y,lm_29_z,lm_30_x,lm_30_y,lm_30_z,lm_31_x,lm_31_y,lm_31_z,lm_32_x,lm_32_y,lm_32_z
0,0.0,720,1280,328,493,304,508,542,1214,-0.008788,0.447158,0.281052,-0.240945,0.449594,0.278643,-0.235821,0.4511,0.278613,-0.23581,0.452821,0.278603,-0.235829,0.444948,0.278866,-0.234614,0.443316,0.278993,-0.234663,0.441557,0.279148,-0.234694,0.456476,0.280084,-0.177871,0.440157,0.280545,-0.173155,0.450359,0.283888,-0.217162,0.444823,0.28389,-0.215896,0.475103,0.292864,-0.120347,0.429009,0.293865,-0.117089,0.484528,0.311859,-0.082247,0.421761,0.314247,-0.084581,0.488592,0.331171,-0.117962,0.421298,0.333097,-0.125315,0.48942,0.336205,-0.131164,0.41978,0.338809,-0.141523,0.486444,0.336424,-0.149133,0.4233,0.338395,-0.159763,0.485155,0.334513,-0.125418,0.425071,0.336727,-0.133463,0.469177,0.333344,-0.001371,0.441856,0.334086,0.001372,0.464357,0.359432,0.041276,0.44447,0.358846,-0.010314,0.464903,0.384176,0.153264,0.446623,0.386548,0.087719,0.465435,0.386684,0.160795,0.447984,0.389399,0.093915,0.464939,0.395131,0.091515,0.449947,0.396875,0.01752
1,0.0333,720,1280,328,493,303,508,542,1214,-0.008307,0.447053,0.28106,-0.247913,0.449562,0.278643,-0.241936,0.451098,0.278612,-0.241922,0.452821,0.2786,-0.24193,0.444878,0.278869,-0.241452,0.443272,0.278993,-0.241511,0.441528,0.279148,-0.241555,0.456475,0.280072,-0.181513,0.44014,0.280553,-0.179885,0.450355,0.283887,-0.22326,0.444634,0.283905,-0.222948,0.475082,0.293359,-0.123044,0.429007,0.293865,-0.121424,0.48466,0.312957,-0.090381,0.422016,0.314301,-0.090152,0.48979,0.331666,-0.136718,0.421456,0.332933,-0.138602,0.490896,0.337029,-0.151716,0.420038,0.338657,-0.15643,0.488412,0.337213,-0.170646,0.423318,0.338184,-0.175722,0.486733,0.335589,-0.145027,0.425014,0.33653,-0.147167,0.46907,0.333075,-0.00289,0.44185,0.333564,0.002878,0.46385,0.359277,0.034097,0.444545,0.358428,-0.004756,0.464807,0.385327,0.137183,0.446673,0.386499,0.095044,0.465137,0.388479,0.143119,0.447982,0.389257,0.101085,0.464424,0.395139,0.069519,0.448365,0.396228,0.024111
2,0.0667,720,1280,328,492,303,508,542,1214,-0.009578,0.447047,0.281086,-0.247714,0.449558,0.27868,-0.240757,0.451107,0.278637,-0.240745,0.452829,0.278616,-0.240744,0.444844,0.278921,-0.241382,0.443242,0.279034,-0.24144,0.441507,0.279179,-0.241476,0.456405,0.280066,-0.178668,0.440119,0.280554,-0.178973,0.450386,0.283887,-0.222175,0.44461,0.283926,-0.222396,0.474469,0.293604,-0.12005,0.428987,0.293628,-0.121062,0.484372,0.313465,-0.089436,0.422015,0.313844,-0.090146,0.490471,0.331916,-0.134262,0.42175,0.331658,-0.139596,0.492076,0.337029,-0.149021,0.420724,0.337327,-0.157152,0.489776,0.337245,-0.168546,0.423862,0.336867,-0.175913,0.488198,0.335781,-0.142799,0.425193,0.33523,-0.147885,0.468765,0.332783,-0.002892,0.441487,0.332909,0.002877,0.463434,0.358853,0.033336,0.444586,0.357436,0.005041,0.464799,0.385166,0.137525,0.44684,0.384815,0.109954,0.464991,0.388038,0.143763,0.448027,0.387135,0.116654,0.464167,0.394096,0.072017,0.448404,0.394256,0.043377
3,0.1,720,1280,328,492,304,508,542,1214,-0.01006,0.446964,0.280947,-0.232949,0.449483,0.278594,-0.225881,0.451079,0.278555,-0.225876,0.452797,0.278544,-0.225883,0.444706,0.278833,-0.226657,0.443089,0.278944,-0.226708,0.441368,0.279074,-0.226752,0.45612,0.279921,-0.16237,0.43992,0.280394,-0.166026,0.450356,0.283663,-0.207065,0.444423,0.283769,-0.208314,0.473405,0.293606,-0.099936,0.428833,0.293301,-0.110503,0.484024,0.313472,-0.061252,0.421791,0.312383,-0.085042,0.491109,0.331848,-0.109797,0.422106,0.329833,-0.138065,0.492673,0.336818,-0.123477,0.421347,0.335362,-0.1556,0.491443,0.337067,-0.144489,0.424676,0.334796,-0.173706,0.489644,0.335691,-0.118992,0.425801,0.333067,-0.145995,0.468673,0.332059,-0.002711,0.441486,0.332127,0.002693,0.463101,0.358295,0.020535,0.44464,0.356615,0.001802,0.464605,0.385123,0.123714,0.446997,0.3844,0.105383,0.464594,0.387961,0.129784,0.448042,0.387044,0.112614,0.464092,0.39382,0.05773,0.448312,0.39372,0.038209
4,0.1333,720,1280,328,492,304,508,542,1214,-0.01006,0.446723,0.280735,-0.217666,0.449281,0.278387,-0.21131,0.45092,0.278342,-0.211303,0.452577,0.278328,-0.211306,0.444466,0.278624,-0.211931,0.442866,0.278717,-0.211976,0.441199,0.278836,-0.212014,0.455751,0.279649,-0.149706,0.439528,0.280125,-0.153494,0.450188,0.283405,-0.192453,0.444126,0.283566,-0.193681,0.472711,0.293523,-0.089052,0.42846,0.292928,-0.099854,0.483876,0.313418,-0.047476,0.421601,0.311584,-0.06828,0.49145,0.331565,-0.095249,0.42329,0.329049,-0.114198,0.493291,0.336623,-0.108398,0.423242,0.334796,-0.129581,0.492043,0.336957,-0.128868,0.426506,0.334114,-0.147632,0.490229,0.335664,-0.104127,0.427569,0.332242,-0.121675,0.468375,0.332087,-0.002263,0.44135,0.332135,0.00224,0.463084,0.358483,0.017081,0.444394,0.35704,0.001525,0.464605,0.385267,0.12028,0.446865,0.384153,0.104193,0.464532,0.38801,0.126456,0.448045,0.386924,0.110856,0.464089,0.395283,0.056615,0.448112,0.393815,0.038094
5,0.1667,720,1280,328,492,303,508,542,1214,-0.009578,0.446153,0.280368,-0.225456,0.448768,0.278043,-0.219554,0.45048,0.277993,-0.219546,0.452135,0.277983,-0.219556,0.443904,0.278299,-0.219392,0.442316,0.278396,-0.21944,0.440657,0.278525,-0.219479,0.45522,0.279321,-0.15908,0.438929,0.279853,-0.159701,0.449732,0.283043,-0.200858,0.443492,0.283265,-0.201059,0.47235,0.293439,-0.098899,0.427844,0.292721,-0.104825,0.483841,0.31336,-0.058428,0.421329,0.31122,-0.073466,0.49164,0.331565,-0.102923,0.424338,0.328922,-0.118999,0.493619,0.336706,-0.115861,0.424552,0.334572,-0.135212,0.492213,0.337103,-0.136339,0.428195,0.333945,-0.153499,0.490327,0.335756,-0.111567,0.42925,0.332162,-0.12697,0.468214,0.332121,-0.002285,0.441193,0.332164,0.002262,0.463093,0.358555,0.020532,0.444381,0.357061,0.001607,0.464548,0.386003,0.119478,0.447077,0.384225,0.101469,0.464372,0.388774,0.124936,0.448317,0.387037,0.108073,0.464107,0.395647,0.053126,0.448116,0.394016,0.033953
6,0.2,720,1280,328,493,303,508,542,1214,-0.008307,0.445799,0.280281,-0.227644,0.448366,0.277907,-0.221679,0.450084,0.277855,-0.221666,0.451696,0.27784,-0.221671,0.443529,0.278145,-0.221766,0.441946,0.278225,-0.221816,0.44031,0.278341,-0.221852,0.454733,0.279194,-0.160102,0.438445,0.279707,-0.161876,0.449335,0.282956,-0.202527,0.44313,0.283204,-0.20313,0.472159,0.293433,-0.097991,0.427319,0.29248,-0.10691,0.483843,0.313397,-0.05734,0.420895,0.311197,-0.078351,0.491766,0.331727,-0.103985,0.425168,0.328985,-0.134932,0.493773,0.336852,-0.117542,0.425488,0.334544,-0.152559,0.492007,0.337197,-0.138302,0.429413,0.333878,-0.169411,0.49017,0.335822,-0.112736,0.430404,0.332133,-0.142147,0.46765,0.332257,-0.001312,0.440693,0.332226,0.001284,0.463102,0.359553,0.023545,0.444312,0.357383,0.001879,0.464405,0.386697,0.124475,0.447092,0.384369,0.101447,0.464055,0.38934,0.130205,0.448339,0.387093,0.107637,0.464214,0.397278,0.058357,0.448128,0.394064,0.033598
7,0.2333,720,1280,327,493,303,508,541,1214,-0.008788,0.445269,0.280233,-0.236152,0.447912,0.277825,-0.228963,0.449637,0.277777,-0.228949,0.451291,0.277764,-0.228949,0.44306,0.278048,-0.230367,0.441464,0.278119,-0.230426,0.439815,0.278233,-0.230477,0.454247,0.279166,-0.161395,0.438008,0.279656,-0.170249,0.448719,0.282936,-0.209269,0.442484,0.28317,-0.211615,0.471518,0.29348,-0.100679,0.426592,0.292503,-0.120115,0.483541,0.313442,-0.061596,0.420238,0.311367,-0.11065,0.491657,0.331625,-0.108814,0.42589,0.329217,-0.17845,0.493426,0.33684,-0.124319,0.426476,0.334761,-0.20029,0.491655,0.337127,-0.145072,0.430407,0.333966,-0.214996,0.489427,0.335688,-0.118128,0.431182,0.332232,-0.185063,0.466605,0.332226,-0.000672,0.440239,0.332192,0.000654,0.462277,0.359148,0.026267,0.44433,0.356762,-0.014904,0.463443,0.386527,0.130458,0.447519,0.384476,0.087569,0.46312,0.389302,0.136418,0.448417,0.387176,0.093902,0.464216,0.395724,0.063111,0.448187,0.394177,0.015194
8,0.2667,720,1280,327,492,303,508,541,1214,-0.01006,0.444238,0.280254,-0.252592,0.446972,0.277829,-0.245829,0.44871,0.277783,-0.245814,0.450398,0.277771,-0.245821,0.442115,0.27805,-0.246968,0.440529,0.278125,-0.247033,0.438896,0.278238,-0.24708,0.453468,0.279169,-0.179587,0.437268,0.279668,-0.186163,0.4478,0.282956,-0.225804,0.441498,0.283203,-0.227728,0.471242,0.293524,-0.110631,0.425819,0.292739,-0.135353,0.483421,0.313432,-0.075144,0.419236,0.311423,-0.127921,0.491117,0.331575,-0.126473,0.42589,0.329353,-0.197948,0.493035,0.336807,-0.142915,0.426494,0.33491,-0.220325,0.49054,0.337095,-0.162716,0.43038,0.334168,-0.235534,0.488316,0.335673,-0.135191,0.431157,0.332441,-0.204859,0.466303,0.332239,0.002191,0.439692,0.332184,-0.002196,0.461188,0.358188,0.032539,0.443865,0.35607,-0.025039,0.46283,0.385526,0.137327,0.447344,0.384361,0.076473,0.462066,0.38887,0.143387,0.448003,0.387142,0.082655,0.464583,0.395038,0.069858,0.448758,0.393651,0.001293
9,0.3,720,1280,327,492,303,508,540,1214,-0.010112,0.44403,0.280343,-0.247539,0.446751,0.277897,-0.241113,0.448503,0.277847,-0.2411,0.450156,0.277835,-0.241108,0.441809,0.278131,-0.241721,0.4402,0.278204,-0.24178,0.438529,0.278322,-0.241823,0.453159,0.279265,-0.177236,0.436805,0.279785,-0.181472,0.447604,0.283063,-0.221524,0.441236,0.283315,-0.22289,0.470899,0.293798,-0.110498,0.425145,0.293525,-0.130687,0.483219,0.313552,-0.074486,0.419048,0.313388,-0.118285,0.489244,0.331709,-0.126692,0.42577,0.329832,-0.182736,0.491281,0.336866,-0.143519,0.426222,0.33561,-0.204228,0.488192,0.337103,-0.162887,0.430137,0.334881,-0.220192,0.48595,0.335674,-0.135239,0.431044,0.333213,-0.189905,0.466066,0.332288,0.00364,0.439243,0.332193,-0.003652,0.460805,0.358117,0.043136,0.443284,0.356222,-0.019042,0.46209,0.385091,0.148594,0.447014,0.384183,0.081627,0.461057,0.388512,0.15506,0.447452,0.386946,0.087773,0.464569,0.393589,0.085028,0.448802,0.393278,0.008921
